2025-07-10 22:27:58,162 [INFO] fetch_kline.py:81 筛选得到 2078 只股票
2025-07-10 22:27:58,163 [INFO] fetch_kline.py:335 开始抓取 2078 支股票 | 数据源:akshare | 频率:day | 日期:20190101 → 20250710
2025-07-10 22:28:49,374 [INFO] fetch_kline.py:81 筛选得到 2078 只股票
2025-07-10 22:28:49,376 [INFO] fetch_kline.py:335 开始抓取 2078 支股票 | 数据源:akshare | 频率:day | 日期:20250505 → 20250710
2025-07-10 22:30:01,275 [WARNING] fetch_kline.py:162 AKShare 拉取 002261 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:02,001 [WARNING] fetch_kline.py:162 AKShare 拉取 002262 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:02,266 [WARNING] fetch_kline.py:162 AKShare 拉取 002263 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:03,640 [WARNING] fetch_kline.py:162 AKShare 拉取 002263 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:04,033 [WARNING] fetch_kline.py:162 AKShare 拉取 002262 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:05,833 [WARNING] fetch_kline.py:162 AKShare 拉取 002263 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:05,974 [WARNING] fetch_kline.py:162 AKShare 拉取 002265 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:06,695 [WARNING] fetch_kline.py:162 AKShare 拉取 002262 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:07,806 [WARNING] fetch_kline.py:162 AKShare 拉取 002265 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:11,186 [WARNING] fetch_kline.py:162 AKShare 拉取 002265 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:11,377 [WARNING] fetch_kline.py:162 AKShare 拉取 002266 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:11,666 [WARNING] fetch_kline.py:162 AKShare 拉取 002267 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:13,000 [WARNING] fetch_kline.py:162 AKShare 拉取 002267 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:13,402 [WARNING] fetch_kline.py:162 AKShare 拉取 002266 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:14,658 [WARNING] fetch_kline.py:162 AKShare 拉取 002268 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
